!SESSION 2026-04-21 08:46:15.824 -----------------------------------------------
eclipse.buildId=4.38.0.20251204-0849
java.version=21.0.9
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_IN
Framework arguments:  -product org.eclipse.epp.package.java.product
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.eclipse.epp.package.java.product
!MESSAGE 09:35:27.428 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:27.440
!MESSAGE 09:35:27.439 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Parsed successfully CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:27.440
!MESSAGE 09:35:27.439 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:27.667
!MESSAGE 09:35:27.666 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change arrived: 166

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:27.668
!MESSAGE 09:35:27.666 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:27.967
!MESSAGE 09:35:27.966 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:29.204
!MESSAGE 09:35:29.203 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:32.458
!MESSAGE 09:35:32.457 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:32.459
!MESSAGE 09:35:32.457 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:32.785
!MESSAGE 09:35:32.784 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:35.409
!MESSAGE 09:35:35.408 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:35.409
!MESSAGE 09:35:35.408 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:41.807
!MESSAGE 09:35:41.805 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change arrived: 173

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:41.983
!MESSAGE 09:35:41.979 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:42.200
!MESSAGE 09:35:42.082 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change message work done in 1ms

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:42.201
!MESSAGE 09:35:42.199 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change message work done in 0ms

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:42.516
!MESSAGE 09:35:42.515 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Parsed successfully CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:42.517
!MESSAGE 09:35:42.515 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:42.862
!MESSAGE 09:35:42.704 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:42.863
!MESSAGE 09:35:42.860 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change arrived: 176

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:43.015
!MESSAGE 09:35:43.014 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:43.030
!MESSAGE 09:35:43.029 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.585
!MESSAGE 09:35:43.375 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.586
!MESSAGE 09:35:43.656 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.586
!MESSAGE 09:35:43.656 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.587
!MESSAGE 09:35:43.656 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.588
!MESSAGE 09:35:48.964 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.589
!MESSAGE 09:35:49.584 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:49.865
!MESSAGE 09:35:49.862 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:50.100
!MESSAGE 09:35:50.100 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change arrived: 181

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:50.151
!MESSAGE 09:35:50.150 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:50.163
!MESSAGE 09:35:50.162 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:53.519
!MESSAGE 09:35:50.932 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:53.553
!MESSAGE 09:35:53.553 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:53.555
!MESSAGE 09:35:53.554 [pool-3-thread-32] INFO  o.s.i.v.c.l.c.VscodeCompletionEngineAdapter - Got 5 completions in 7ms

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:53.618
!MESSAGE 09:35:53.615 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:53.619
!MESSAGE 09:35:53.616 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:53.620
!MESSAGE 09:35:53.616 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.118
!MESSAGE 09:35:53.669 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.119
!MESSAGE 09:35:54.117 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.635
!MESSAGE 09:35:54.634 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.650
!MESSAGE 09:35:54.650 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.665
!MESSAGE 09:35:54.665 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.782
!MESSAGE 09:35:54.665 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:35:54.848
!MESSAGE 09:35:54.848 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Started parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:01.504
!MESSAGE 09:35:57.306 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:04.699
!MESSAGE 09:36:04.560 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:04.718
!MESSAGE 09:36:04.717 [pool-5-thread-7] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Finished parsing CU for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:04.718
!MESSAGE 09:36:04.717 [pool-3-thread-31] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: end work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:05.079
!MESSAGE 09:36:05.077 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:05.080
!MESSAGE 09:36:05.078 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:05.333
!MESSAGE 09:36:05.314 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:05.405
!MESSAGE 09:36:05.404 [pool-14-thread-1] INFO  o.s.i.v.c.l.u.SimpleTextDocumentService - change message work done in 0ms

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:05.819
!MESSAGE 09:36:05.818 [pool-3-thread-32] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: work item submitted for doc file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:06.327
!MESSAGE 09:36:06.231 [Reconciler-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - CU Cache: start work on AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:06.328
!MESSAGE 09:36:06.325 [pool-14-thread-1] INFO  o.s.i.v.b.j.u.CompilationUnitCache - Invalidate AST for file:///C:/Spring%20Boot%20W/auth-service/auth-service/src/main/java/com/inventory/auth/config/SecurityConfig.java

!ENTRY org.eclipse.lsp4e 4 0 2026-04-21 09:36:06.556
